content,score,at,bank,month_year,content_process,sentiment
Hadirkan fitur transaksi QRIS tanpa PIN dong seperti di BCA mobile biar saat transaksi satset,4,2024-04-30 16:26:21,BCA,2024-04,Hadirkan fitur transaksi QRIS tanpa PIN dong seperti di BCA mobile biar saat transaksi satset,neutral
"Ini kok aneh ya, saya di transfer uang kakak saya 200 ribu masuknya cuman 181.500 padahal sama2 bca transfernya. Kok bisa smp kepotong 20.000 ya ? Dan gak ada keterangannya juga di riwayat transaksinya. 

Tolong solusinya, ini kok sama2 bca malah kena potongan 20 ribu aneh banget",2,2024-04-30 05:45:55,BCA,2024-04,"Ini kok aneh ya, saya di transfer uang kakak saya 200 ribu masuknya cuman 181.500 padahal sama2 bca transfernya. Kok bisa smp kepotong 20.000 ya ? Dan gak ada keterangannya juga di riwayat transaksinya. Tolong solusinya, ini kok sama2 bca malah kena potongan 20 ribu aneh banget",negative
maaf cs BCA an fira. tadi pulsa habis. makasih dah bantu unblock bca id saya. the best 👌,5,2024-04-30 00:48:33,BCA,2024-04,maaf cs BCA an fira. tadi pulsa habis. makasih dah bantu unblock bca id saya. the best ,positive
"Verifikasi ok, pas login diminta masukin kode otp, sampe detik ini saya udah chat via wa bca & telp halo bca jawabannya kendala sinyal . Gak ada solusi . 
Heloooo sms wa internet saya bisa semua, cuma otp dari bca gak masuk masuk , aneh . Gmn mau pake aplikasi nya . 
👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼!!",1,2024-04-29 08:00:41,BCA,2024-04,"Verifikasi ok, pas login diminta masukin kode otp, sampe detik ini saya udah chat via wa bca & telp halo bca jawabannya kendala sinyal . Gak ada solusi . Heloooo sms wa internet saya bisa semua, cuma otp dari bca gak masuk masuk , aneh . Gmn mau pake aplikasi nya . !!",negative
"Great app, very helpful",5,2024-04-28 07:50:05,BCA,2024-04,"Great app, very helpful",positive
"Udah enak sih so far, cuman blm bisa ke pake smua ya fitur nya, saran dong klo ada uang masuk kasi notif nya.. biar enak",4,2024-04-27 09:37:57,BCA,2024-04,"Udah enak sih so far, cuman blm bisa ke pake smua ya fitur nya, saran dong klo ada uang masuk kasi notif nya.. biar enak",negative
"Kenapa ya abis masukin nomer atm untul verifikasi data tulisannya terjadi kesalahan terus, dicoba ulang ulang masih aja ga bisa",3,2024-04-26 12:31:37,BCA,2024-04,"Kenapa ya abis masukin nomer atm untul verifikasi data tulisannya terjadi kesalahan terus, dicoba ulang ulang masih aja ga bisa",negative
"ini aplikasi sebenernya lebih bagus daripada yang BCA Mobile, cuma ribet bgt suka tiba2 keluar sendiri dan akhirnya kita harus regist ulang, mana pake pulsa lagi",1,2024-04-26 06:14:06,BCA,2024-04,"ini aplikasi sebenernya lebih bagus daripada yang BCA Mobile, cuma ribet bgt suka tiba2 keluar sendiri dan akhirnya kita harus regist ulang, mana pake pulsa lagi",negative
"Aplikasi sering force close, sangat merugikan",1,2024-04-26 02:38:20,BCA,2024-04,"Aplikasi sering force close, sangat merugikan",negative
"bingung sebingung bingungnya. pindah hp mau login gak bisa terus. udah kirim sms berkali2 sampe isi pulsa berkali2 juga, ttp tulisannya “sesi login habis” terus nelfon cs pake halo bca cuma disuruh “coba secara berkali”. gak membantu sama sekali. saya jg udah nyoba 2 minggu mas ini tp ttp ga bisa 🤣",2,2024-04-25 17:21:01,BCA,2024-04,"bingung sebingung bingungnya. pindah hp mau login gak bisa terus. udah kirim sms berkali2 sampe isi pulsa berkali2 juga, ttp tulisannya sesi login habis terus nelfon cs pake halo bca cuma disuruh coba secara berkali. gak membantu sama sekali. saya jg udah nyoba 2 minggu mas ini tp ttp ga bisa ",negative
"udah masukin password bener, dibilang salah. baru satu kali salah, langsung keblok. ancur. setahun 50kali nelp halo bca buat unblok sampah",1,2024-04-25 12:11:32,BCA,2024-04,"udah masukin password bener, dibilang salah. baru satu kali salah, langsung keblok. ancur. setahun 50kali nelp halo bca buat unblok sampah",negative
"Tiba2 aplikasi ke log out jadi ga bisa face id.. lupa password, lalu mau reset password prosedurnya ribet banget… harus telp halobca, abis itu ada perlu sms, sudah sms (sim card ok, pulsa banyak, jaringan ok) ehh dibilang verifikasi gagal pastikan sms terkirim, zzzz capek bgt jadinya, langsung deh klik uninstall 😑😑 tolong dong yang begini2 aja dipermudah jangan dipersulit",1,2024-04-25 02:01:24,BCA,2024-04,"Tiba2 aplikasi ke log out jadi ga bisa face id.. lupa password, lalu mau reset password prosedurnya ribet banget harus telp halobca, abis itu ada perlu sms, sudah sms (sim card ok, pulsa banyak, jaringan ok) ehh dibilang verifikasi gagal pastikan sms terkirim, zzzz capek bgt jadinya, langsung deh klik uninstall  tolong dong yang begini2 aja dipermudah jangan dipersulit",negative
Suka sama aplikasi MyBCA. User interface nya keren. Ngga monoton seperti mobile BCA. Krn mybca saya jadi hapus aplikasi mobile BCA saya. Tp sayangnya belum ada fitur untuk hapus daftar transfer antar rekening atau antar bank di mybca. Mohon di tambahkan ya. Terima kasih,5,2024-04-25 01:51:56,BCA,2024-04,Suka sama aplikasi MyBCA. User interface nya keren. Ngga monoton seperti mobile BCA. Krn mybca saya jadi hapus aplikasi mobile BCA saya. Tp sayangnya belum ada fitur untuk hapus daftar transfer antar rekening atau antar bank di mybca. Mohon di tambahkan ya. Terima kasih,positive
Lbh praktis jika bisa digunakan utk login acc bisnis karena token sudah tidak nyaman dipakai. Apalg utk keluar kota resiko hilang dll. Dgn proteksi password dan face id (hanya utk melihat mutasi) harusnya sdh sangat aman dibanding harus membawa token setiap saat.,5,2024-04-24 23:23:13,BCA,2024-04,Lbh praktis jika bisa digunakan utk login acc bisnis karena token sudah tidak nyaman dipakai. Apalg utk keluar kota resiko hilang dll. Dgn proteksi password dan face id (hanya utk melihat mutasi) harusnya sdh sangat aman dibanding harus membawa token setiap saat.,negative
"Face id error, lalu udah reset face id malah gak bisa masuk sama sekali meski pakai password",2,2024-04-24 12:51:56,BCA,2024-04,"Face id error, lalu udah reset face id malah gak bisa masuk sama sekali meski pakai password",negative
"Mudah digunakan, ga perlu ribet masukkan kode setiap transaksi atau cek. Tapi masih banyak ruang untuk perkembangan nih.
Saran dr saya, tlg ditambah pengaturan untuk auto logout dengan pilihan waktunya, kedua saya sangat senang dengan notifikasi transaksi debit, tolong ditambahkan juga dong untuk notifikasi transaksi credit beserta pengaturannya agar dapat dipilih apakah ingin menerima notifikasi tsb atau tidak.
Semoga makin berkembang lebih baik.",4,2024-04-24 03:01:18,BCA,2024-04,"Mudah digunakan, ga perlu ribet masukkan kode setiap transaksi atau cek. Tapi masih banyak ruang untuk perkembangan nih. Saran dr saya, tlg ditambah pengaturan untuk auto logout dengan pilihan waktunya, kedua saya sangat senang dengan notifikasi transaksi debit, tolong ditambahkan juga dong untuk notifikasi transaksi credit beserta pengaturannya agar dapat dipilih apakah ingin menerima notifikasi tsb atau tidak. Semoga makin berkembang lebih baik.",positive
"Face Id not available on iphone, please update",5,2024-04-22 16:32:42,BCA,2024-04,"Face Id not available on iphone, please update",negative
"Kenapa saya tidak bisa membuka aplikasinya?
Sedangkan ke aplikasi” yang lain aman” aja",1,2024-04-20 12:16:26,BCA,2024-04,Kenapa saya tidak bisa membuka aplikasinya? Sedangkan ke aplikasi yang lain aman aja,negative
"tidak berguna menghabiskan pulsa untuk registrasi. di chat pertanyaan lain, jawab lain. langsung mengakhiri obrolan.",1,2024-04-20 09:25:02,BCA,2024-04,"tidak berguna menghabiskan pulsa untuk registrasi. di chat pertanyaan lain, jawab lain. langsung mengakhiri obrolan.",negative
"gagal terus ga tau salahnya dmn, awalnya uda di email dan berhasil tp akhirnya gagal lagi, jd sedot pulsa sms, parah",1,2024-04-17 18:14:26,BCA,2024-04,"gagal terus ga tau salahnya dmn, awalnya uda di email dan berhasil tp akhirnya gagal lagi, jd sedot pulsa sms, parah",negative
"Gw gatau ini di hp gw doang ( iphone 11) atau banyak yg mengalami tapi appsnya bener2 berat, suka lag tiap mau buka dan sering force close. 

Moga2 diupdate berikutnya bisa lbh ringan lagi mengingat ini lbh lengkap dibanding m bca",3,2024-04-17 14:25:31,BCA,2024-04,"Gw gatau ini di hp gw doang ( iphone 11) atau banyak yg mengalami tapi appsnya bener2 berat, suka lag tiap mau buka dan sering force close. Moga2 diupdate berikutnya bisa lbh ringan lagi mengingat ini lbh lengkap dibanding m bca",negative
Hallo keren bgt my bca jadi bisa keliatan semua account bca nya..tapi kenapa paylaternya sering eror..katanya opss terjadi kesalahan silahkan coba lagi..semoga cepet baik..🙏,5,2024-04-16 09:13:04,BCA,2024-04,Hallo keren bgt my bca jadi bisa keliatan semua account bca nya..tapi kenapa paylaternya sering eror..katanya opss terjadi kesalahan silahkan coba lagi..semoga cepet baik..,negative
bank sebelah (mandiri dan bni) udah bisa connect sumber dana qris pake kartu kredit. masa sekelas bca yang notabene brand banking terkuat dan terkenal inovatif kalah sama nih 2 bank bumn. come on mimin bca!,4,2024-04-15 16:52:32,BCA,2024-04,bank sebelah (mandiri dan bni) udah bisa connect sumber dana qris pake kartu kredit. masa sekelas bca yang notabene brand banking terkuat dan terkenal inovatif kalah sama nih 2 bank bumn. come on mimin bca!,negative
